"label"	"text"
"positive"	"Happy Saturday morning everyone! Here's a short instrumental cover of Sam Smith's \"I'm Not the Only One.\" We have... http://t.co/FrboL03lZH"
"positive"	"I liked a @YouTube video http://t.co/JNs5uMGHLX Relive the buildup to Brock Lesnar's clash against Roman Reigns: SmackDown, March 26,"
"positive"	"Arsenal fc &amp; 4th position in the EPL, a better love story than Twilight &amp; Titanic!"
"positive"	"Excited to be presenting Cloud Computing for SMB's at the Centenary Chamber of commerce on November 6th"
"positive"	"i dont know but horan is my bae?;$ nialler! x so everybody,i will getting married with Niall on 24 January 2015 :) xx *justkidd."
"positive"	"Cheer on your KC Royals tonight, because if they win, you win! 50% off tomorrow if they beat the White Sox tonight! Use promo code ROYALSPR"
"positive"	"Did someone say Christmas in July?! Go Set a Watchman comes out TODAY! Oh, and I'm busy for the rest of today. No reason. #booknerd"
"positive"	"Just did Spartacus 2.0 and sauna...imma be sore tomorrow but so worth it"
"positive"	"Balotelli in his 2nd Milan debut:a goal in 3 minutes, assisted the 2nd, and won a penalty. Final score:3-2 http://t.co/EAVnQg8LXO"
"positive"	"Right\u002c the 2nd tweet is better\u002c but I\u2019m at Harold Washington... @ItsA_PRIviLege"
"positive"	"@pamelamars 15th august.The anthem still chokes me up.The flag still makes me proud.Gandhi still looks over us.happy Independence day INDIA"
"positive"	"This goes way too fast :O Its been already a year that I saw Avril Lavigne in concert <3 October 25 2011\u002c one of the best day of my life :D"
"positive"	"Tomorrow is the big day!! Happy National Ice Cream Day! #icecreamday http://t.co/GqGIotqVHE"
"positive"	"Didn't want to wait until October 10 for Boruto: Naruto the Movie, so I flew to Osaka, Japan to watch it! http://t.co/mpZ7gqrHH8"
"positive"	"Okay here's a thing July 21 2015 is the day when Justin Bieber FOLLOWED ME and I wont ever forget that date like EVER!"
"positive"	"Conquering rides on the 4th baby!!! @ San Diego County Fair http://t.co/4SNy1y40"
"positive"	"@armyveteranMPI  I may sound like a parrot but Dr. Ben Carson as our leader with Carly Fiorina as his VP is a winner for all Americans."
"positive"	"#NewYear #love #fun Chicago Cubs rookie third baseman Kris Bryant left Sunday's game against the Milwaukee Bre...  http://t.co/lP8zPaC1zd"
"positive"	"@4BarsofFire I debated it 1st\u002c but now i totally agree\u002c followed by Poetic Justice.."
"positive"	"Ate dinner on the couch in sweatpants &amp; under a blanket while listening to sam smith pandora, &amp; now I'm reading the newspaper. Its Saturday."
"positive"	"Yo @annietudzin you excited for this packers game on sunday lolol"
"positive"	"Emile Heskey scores a bicycle kick (2nd goal) for Newcastle Jets v Melbourne Victory!!! http://t.co/O0PP1KaL --- What the ? How the ? Why..."
"positive"	"Rui En should be 1st lead. confirm. She is good eh. I like her scene with her niece and yangyang. chemistry damn good."
"positive"	"leaving for Germany tomorrow : I keep repeating it to myself \u002c somebody pinch me  !"
"positive"	"In Rory's absence Paul Dunne is representing Ireland well in The Open!!  1st amateur since Bobby Jones to lead going into the final round."
"positive"	"The veto comp tmrw may be one of the best ever in the history of Big Brother. #BB17"
"positive"	"@ohohmario Why you so gwapo  ^_^ Take Care Mario\u002cgoing to watch Suddenly it\u2019s Magic on Tuesday. :)"
"positive"	"@vgunvalson focus on Briana and Michael and your family - just look at those gorgeous grand babies! They think u r the sun! Be happy Vicki."
"positive"	"@mongbow Happy birthday for tomorrow! May you get the naked Seth Rollins you've always wanted ;)"
"positive"	"Feels like Super Bowl Sunday waiting for the big TNF game tonight! What\u2019s everyone doing for KC v SD?!? #cantcontainexcitement"
"positive"	"Congratulations to Olivia Jordan, who won Miss USA on Sunday!!  Olivia worked with us for several years while at... http://t.co/ahIJneVBx9"
"positive"	"Best birthday present ever! Im going to see Ed Sheeran this Thursday  #EdSheeran #AmalieArena http://t.co/tfFvc4WsYp"
"positive"	"Game over with a final score of 1-0! GO BEARS! We continue to Thursday against Todd Beamer at Curtis high school... https://t.co/2X1V8YJUqd"
"positive"	"So its supposed to be in the 30s Sat night in Natchitoches!! @DeezyBaby504 @Smcclain11 better be lucky I love them!! #missyallboyz #itscold"
"positive"	"Want a chance to win 2 tickets for Jason Aldean's Burning It Down tour on September 11th at First Niagara? Stop in tonight!"
"positive"	"Paul Dunne had some day today at St.Andrews... Brilliant achievement so far for an amateur, be great to see him stay in touch tomorrow."
"positive"	"jeonghan looks like one of the characters in twilight wearing that hoodie tho https://t.co/gPaRO5IajL"
"positive"	"@annie_cutler Good luck tomorrow night. You\u2019ll be great.  Also\u002c Samoas and Thin Mints = great way to warm up the crowd.  #Mmm  #SOCOMX"
"positive"	"@dianaanoann The days are getting shorter for sure, but we'll go into daylight savings this Sunday, i.e., no waking up in the dark! :-)"
"positive"	"@monstershockey after Sat nights game on WHK 1420, @DougPlagens is on with us, plus we have tickets to the next home game to give away! RT?"
"positive"	"Finally got to see The Announcement #Magic ...very inspiring story to never give up...God will help no matter what the circumstances may be"
"positive"	"Tomorrow is definitely gonna be a calm\u002c casimir pulaski day #greatkickoff #goodnight"
"positive"	"RDJ &amp; Chris Evans will be on Kimmel tonight! ABC is a Disney owned company &amp; they love to drop trailers on a Tuesday! #Marvel #CivilWar"
"positive"	"Swachh Bharat: C'mon, it's time to come clean - writes @sonalkalra http://t.co/95B2R3nIKD http://t.co/e5xijXIA27"
"positive"	"@onedirection please cani have a tweet or retweet because it is my 11th birthday thank you love you ZAYN MALIK"
"positive"	"\\"@D1_Prospect: Singing find your love by Drake like the kid in my 4th block class that swears he\u2019s good.\\" Lmaoooo!!! Leave that boy ALONE!"
"positive"	"Happy 2nd birthday to Prince George, the little gift that keeps on giving! #HappyBirthdayPrinceGeorge http://t.co/Mo5hIvTWuK"
"positive"	"OMG!!!!!!! Slaughterhouse is gonna be dropping a mixtape with Gangsta Grillz sometime before August 28th!!!!! :D"
"positive"	"Tomorrow I'll be throwing myself around to Black Noise. Come and do the same at The Horn St.Albans from 7:30pm"
"positive"	"Rainy Friday night in perfect for losing myself in the beauty of the Chelsea Flower Show on @LifeStyleTweets"
"positive"	"@baghdadinvest @abbasnasir59 Not just Christians, you are in the prayers of \"all of us\" humans.May you stay safe and be free soon!God bless."
"positive"	"I won the 2nd Star in my McLaren 12C GT3 SE in #CSRRacing #RaceYourFriends. Download FREE! http://t.co/ih2eTC5wPU"
"positive"	"@Swimfanatic454 thanks I am! :)I saw the hollywood sign today!!!!! And in Disney I got to meet a really hot Aladdin lol :)"
"positive"	"@JMV1070 totally Rousey. Misha Tate took her to the 3rd round time last time and has gotten better"
"positive"	"Just 2 more days until Copper River Salmon is here! Arriving Monday to the Market."
"positive"	"@DrMichaelLBrown thank you. I just finished \"Can You be Gay and a Christian\" and it was a blessing. I used it for my adult Sunday School."
"positive"	"Ampt going to see my baby Ice Cube in in NWA this Friday :)"
"positive"	"@donnyosmond hi Donny how are you I just want to say you was amazing on @bbcstrictly last Saturday night . xx can you follow me"
"positive"	"@The_MaleBoss: Boko Haram will soon know the 'strength of our collective will' In Sha Allah. May God guide the new Service Chiefs!. Amin"
"positive"	"This upcoming Thursday my Patriots are going to smash these Steelers!!! Tom Brady is gonna be angry and he's going to put unreal #s up!!!"
"positive"	"Come walk with us tomorrow! See you at Lent\u2019s Park at 10 AM for registration. Looking forward to a big crowd and a sunny day!"
"positive"	"@BaseballQuotes1 How old? The Royals were the 1st Wild Card team. They'd have been in either way."
"positive"	"I just got a John cena vine sent to me at 12:08 on a Friday what a life I lead"
"positive"	"@Big_Juvy56 @remy_maaaatin I really hope the colts play the pats 1st round, Colts will play way better. Have a better run defense"
"positive"	"Can\u2019t wait for opening night at Madison Square Garden. Will be there for the Knicks/Heat game on Friday! #fun"
"positive"	"If anyone had to take the History OGT tomorrow I'd be happy to take it for you! #bestsubject"
"positive"	"#Astros Aplin steals third after knocking a big  RBI double down the right field line. We're tied at 1 in the 8th."
"positive"	"Chris Archer (TB): 4th Rays pitcher with 200 strikeouts in a season (joins Scott Kazmir, David Price &amp; James Shields)"
"positive"	"@cathwalps I hope not! Not a cloud in the sky so far! Travelling to Split tomorrow then in Hvar next couple of days.. how're you getting on?"
"positive"	"Great night with @TomFeltonsMrs! Now watching Vampire Diaries again &lt;3"
"positive"	"Carnival Tomorrow. I'll make sure to take pictures:) #Excited"
"positive"	"Tina Fey and Amy Poehler will host the 70th Golden Globe Awards in January and\u002c for once\u002c I may care about an awards show!"
"positive"	"The beautiful village where I live is having a Christmas market over the weekend.. Sat twilight market and Sunday... https://t.co/ZhPanWwZld"
"positive"	"I\u2019m having White Collar withdrawal. I can\u2019t wait till it comes back in January."
"positive"	"Good article on the ins and outs of Josh Hamilton's contract.#RSM337 http://t.co/QbmSwr4gJG"
"positive"	"National Hot Dog Day with the morning team starts at 7am. Tomorrow is National Tequila Day...but not at 7am at work. http://t.co/dxftt38Rcv"
"positive"	"WOW, David Bowie and Bing Crosbie you give me goose bumps. May this wish come true.  Peach on Earth.... https://t.co/SYXr6GkFZe"
"positive"	"HISTORY - Cristiano Ronaldo is the 1st player in Real Madrid's history to score 14+ braces in a European competition."
"positive"	"@kellonedwards @Edwards91Reece rad! i leave for israel thursday. i'll get it on kindle. when was warfield around?"
"positive"	"As bad as I'd like to see Jordan Spieth win The Open, this Paul Dunne kid is something else. Can't wait to see it unfold tomorrow!"
"positive"	"@kelsey_ann_mo Where are we going out for Devin's 21st?? Northampton's finest... the Gin Mill? haha"
"positive"	"J Cole said Kendrick Lamar was BETTER than himself and that he may be the closest thing to pac that hip hop will ever see!!"
"positive"	"It's Friday, Friday Gotta get down on Friday Everybody's lookin' forward to the weekend, weekend -. Rebecca Black"
"positive"	"@anuparno3 @IKalmeshh_ Eid festival have only 3 days n some ppl celebrate for 2 days Monday was a last day of Eid"
"positive"	"@lJessiHarrisl kevin hart is the man, you better be going to see laugh at  my pain on sept 9th...i am!"
"positive"	"@Jarvdawg yea and the performance never drops. I'm playing side by side with my mate on PS4. So clean! good luck holding out until Friday :x"
"positive"	"Your girl is going to see Justin Bieber in March!!This by far is the best Christmas gift ever, thank you @OVOreyes22 https://t.co/n4FVj5Fwc4"
"positive"	"My excitement to see Kenny Chesney and Jason Aldean tomorrow is through the roof"
"positive"	"Short drive to work this morning with Bad Blood--Raspberry Beret--Out of Style as my soundtrack.  Tuesday gonna be a good day."
"positive"	"Tracy McGrady arrived in China on Wed after signing with Qingdao Eagles. His arrival at the airport was crazy - http://t.co/siGIuJFF"
"positive"	"Happy Valentines Day <3 !!.....yes\u002c in Brazil\u002c it is celebrated on June 12. Your mind = blown !"
"positive"	"Tomorrow is definitely gonna be a calm\u002c casimir pulaski day #greatkickoff #goodnight"
"positive"	"@D_Lombardozzi Will there ever be a 3rd season of Breakout Kings? FX should pick you guys up! Please tell me sumthin good!!! Best show ever!"
"positive"	"I may not be Miss USA but I am still Miss Minnesota USA! I am looking forward to the appearances I have coming up!! #bemorethanpretty"
"positive"	"We like to have some fun at our community. Come to the pool on July 23rd, 2-3pm, to celebrate National Hot Dog Day! http://t.co/LOcPxmpSfc"
"positive"	"4 days until VintageNOW. We want to raise a bundle for the Safe House for Women. Support us by attending 0ct 30th.  http://t.co/oMptA9pe"
"positive"	"Because the 1st meeting needs to be memed. Curtis is us. I may have rewatched this a lot. @EchoK is a great addition https://t.co/E4U6inzdPJ"
"positive"	"@LiverKickdotcom like tomorrow if Dana white tweeted what a glory fan he is, these same people would come running so hard they'd faceplant"
"positive"	"They should always be included in our prayers. May Allah give them the strength and power to vanquish Boko Haram. http://t.co/oFgeOUIamf"
"positive"	"@Yuki_18_j Good morning, yuki~! Oh, i like your name too. Does It means snow? Riko isn't my real name, i've chose it because i like japan."
"positive"	"Happy to report Kez has qualified for Crufts for the 2nd year in a row :)."
"positive"	"@_KaylaM hope you're doing okay pretty girl. &lt;3 Come to the party in Muskoka on Saturday at The Kee! :)"
"positive"	"Check out the scene at Stylish Wave Extra on April 22! GUILD, ZUCK, vNEU, HERO, BORN, UNITE, MICRO HEAD4NS, Kra, Kiryu! http://t.co/nGCKLOV8"
"positive"	"Just got the wax flushed from my ears for Janet Jackson tomorrow night, my body is literally ready"
"positive"	"it's Monday and it's a full week 3! Jonathan Kozol tonight on campus &amp; Club Fair on Wed #WeAreAllWinners@HCC"
"positive"	"@bigeastonao I dont remember the name but it's a big award and SNSD was performed Gee or Gennie,u may search google for that incident"
"positive"	"Thursday Margarita Day with Poker Sign in before 7:15 p.m. And a Funtastic Time!!!! Yeaha Friday Jaron Bell (Riannon bday party) reminder ;)"
"positive"	"Why John Kasich may be strongest GOP prez candidate - even if he may not be able to get nomination. Read @FrankBruni  http://t.co/COOWT1Uv5X"
"positive"	"Floyd Mayweather may be greatest boxer in the world right now but Ronda Rousey is the greatest fighter in the world"
"positive"	"Fun fact in 7th grade i thought dave grohl and eddie vedder were the same person"
"positive"	"So excited for recruitment to start at Auburn today! These Gamma Omega Thetas are going to be great! #wareagle [Christa and Katharine]"
"positive"	"Heard a great pub rumour last night \\"\"Ireland has started printing punt and has the ability to swap back\\"\" Do we even have a currency press?"
"positive"	"If you\u2019re an October baby\u002c then Happy Valentine\u2019s Day to your folks ... They have an annual memory"
"positive"	"#factsaboutme When I was born. On that day \u002c it was the 2nd day of Chinese New Year. Immediately \u002c i gotten lots of redpacket :D"
"positive"	"good eats on deck 2day. Volare 4 lunch. Maya del Sol 4 dinner. i was smart 2 wear black. i may look like i\u2019m w/ child by the end of the day"
"positive"	"My favorite part of Straight Outta Compton was when Ice Cube said Friday was going to be funny."
"positive"	"Carly Fiorina may not ever have served in elected office but she's prolly a better politician than most of the GOP field. #ForWhatThatsWorth"
"positive"	"Kendrick Lamar became the 2nd most nominated artist at #GRAMMYs in a single night(11). The 1st one is Michael J.(12) https://t.co/qW2gm1IkhG"
"positive"	"@Godforshort_ @HIFTBABG C'mon man don't get me wrong Cole had a great album but Kendrick gonna take it home"
"positive"	"Last night &amp; tonight &lt;&lt;&lt; hopefully a better one tomorrow Milan"
"positive"	"Kane with a brilliant finish tonight as England win 2-0 . let's hope he takes his performance into the game on Sunday http://t.co/S6GPyhbC3N"
"positive"	"My mom and I sat in the bathroom all night jamming nirvana and painting our nails &amp; just talking. Probably the best night I've had in awhile"
"positive"	"Having complimented Peter Garrett yesterday for his suit, I fear he's worn the same one today. Hope it's the 2nd pair of pants. #qt"
"positive"	"For our Wednesday morning we have one from the 60's starting us off..  Bee Gees with Kitty Can https://t.co/FMxreHFecn"
"positive"	"@CraigSpratt Yeh it's a joke. May as well make Crufts an Olympic event too if this counts as one..."
"positive"	"Not gonna lie, kinda excited for #gfmodelsearch this Sat at Westfield Parramatta. Looking to be a killer day!!!!!! @GirlfriendMAG"
"positive"	"Hello from Dublin! Tomorrow we\u2019re playing at The Button Factory. Onstage at 9\u002c but if you come for @toquiwa_jp at 8\u002c you won\u2019t regret it!"
"positive"	"10th anniversary of Tony Pulis taking charge at Stoke. No matter what people say you cannot deny the bloke has done a great job #WelldoneTP"
"positive"	"@LynneMcGranger I would also just like to point out that the Eagles had a win today ;-))"
"positive"	"Think I\u2019m gonna have to have a MaccyD Breakfast on the ways to Spurs tomorrow ;)"
"positive"	"Arsenal's Danny Welbeck was awful in the 1st half, but it was great to see Welbeck, ex #mufc legend, on the scoresheet in the 2nd half."
"positive"	"I just sat here explaining to meme how hungry I was and then she looked at me and drove past Dunkin, smiling."
"positive"	"Already in love with Ian and I'm 12 min into the 1st ep. Why are the gay characters always my fav."
"positive"	"@svmixradio The Winans are doing the smash hit \\"\"Tomorrow\\"\" its cool but not the same without all the brothers. More on the Whitney Memorial."
"positive"	"I mean I'm ok with watching randy Orton and Shia labeouf for 2nd period"
"positive"	"@LeighFrancis: Celebrity Juice tonight 10pm itv2. Hurrraaaaah! its a Back to school special who's featuring ! The wait is too much ! Ooosh"
"positive"	"George Osborne sat giggling, sums the Torirs up, it's all a game to them #SyrianRefugees"
"positive"	"Tune in on September 12th it's going to be a night of great fights Floyd Mayweather #HighStakes http://t.co/YXXeYgThnP"
"positive"	"Paul Dunne: \"The ball does what you tell it to do.\" We all know he's one to watch now! Brilliant #TheOpen https://t.co/E6JX9jIkmw"
"positive"	"Check out my new blog post ...ROC'N Wednesday! Inner Peace Through Dharma Yoga with Maryam - http://t.co/tPjjWum3zj"
"positive"	"Watched Ant-Man for the 2nd time today, and thought of 2 more reasons to see it again: to catch the Easter eggs and catalog its Britishisms."
